#miRNA,paciente 137,paciente 139,paciente 140,paciente 190,paciente 252,paciente 407,paciente 411,paciente 422,paciente 142 RI,paciente 162,paciente 173,paciente 187,paciente 210,paciente 297,paciente 414,paciente 457,paciente 258,paciente 260
hsa-miR-193b-3p19,7.778297218992651,6.431854311047499,7.681859514882092,9.187290796185186,7.490326020076641,10.609249216966784,7.645693890035144,6.265620221058305,7.973774365592519,9.137571233794596,8.317179346402938,9.626507222795187,8.638134087235871,7.765793347582092,7.7915441379218855,12.46206248947736,7.935912236052955,3.8105805240053043
hsa-miR-193b-5p67,3.017357580083894,0.9002067585701938,2.1381905606698637,3.473986730837011,4.226498324552201,3.737846883377703,1.9589363733606895,1.345263777993115,1.9106529155287437,2.5636278414466154,3.065169964111135,2.973823437101601,2.1326262724131,2.8345078406030497,3.1908029638912527,6.209076971161552,7.737475980799704,7.710815959424235
hsa-miR-194-3p71,0.5747668150485923,0.722247484984345,0.7118410882833325,0.0,2.0778562209655886,0.31265334495239655,0.8238042388517365,0.28701062447622655,0.0,0.07584364767094302,0.0,0.0,0.42063333262233404,0.0,0.0,0.0,0.0,0.0
hsa-miR-194-5p60,4.4862545800921225,3.1721009125793223,4.818480784835636,5.117077012371612,2.329767320078157,6.03587198619495,3.9439806860110878,3.7361861569331567,3.9820828843711125,7.6245544912225895,1.8607734934892453,3.1027829628968733,3.078495502734769,3.768369949111643,2.1882096819386287,1.832171497048725,3.148444980411608,0.0
hsa-miR-195-3p15,5.711243071005717,5.4838105709805705,4.785491643908308,4.1580594507310895,6.701790382871025,4.825014694393306,5.108437844862845,4.981634400745093,5.3887096860648755,3.6310096763059585,5.532030209429577,5.120644348505687,5.282205615259748,5.3717543503734895,5.320555236209344,5.391342205658748,0.0,5.325314787776339
hsa-miR-195-5p61,8.092133893938518,7.91791322084446,8.11924297616777,9.491938784521594,5.624303056146171,10.02066516362434,7.46806716598224,7.677447199204689,8.702952037916557,9.765820746443053,6.222971732254798,6.975904933724427,8.736447208559852,7.830103355748059,7.383806276342242,7.387562456915249,6.690290148714045,7.797873665734014
hsa-miR-196a-1-3p07,0.0,0.0,0.0,0.0,0.0,0.16477972546636083,0.0,0.0,0.0,0.07584364767094302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-196a-3p62,3.5567491253124848,2.6813557005308875,0.7118410882833325,5.48596350367832,1.3845455735250263,2.767179246193841,2.1587580703256966,2.433544357740282,4.544066633664694,3.421680389047962,1.6348807156969378,3.5575275090263507,2.6817281939315425,0.4444172781120245,1.4297487886037175,3.3165138481303305,0.0,0.0
hsa-miR-196a-5p26,7.052903092035097,7.729804708006509,7.1931141265355425,8.38421834942725,8.389141453613979,6.398581108041765,6.153245685964639,6.933399191192163,6.698565505928048,6.992469554835799,5.979928203091876,6.262752632285343,8.038977292288099,3.851846269044656,6.645282078982987,6.171129780232713,4.834634187221715,7.466978144052146
hsa-miR-196b-3p01,0.0,0.0,0.0,1.0864470442315177,0.0,0.0,0.13258791866733297,0.15063083186922394,0.0,0.2820349852781977,0.0,0.5750463990158317,0.0,0.23925405596895064,0.0,2.2753316982692264,0.0,0.0
hsa-miR-196b-5p80,8.796605449704334,8.820635754314646,8.229644658607421,8.452899493737801,7.941671819290927,6.07264627753382,8.03053071882862,8.184846887086294,8.598505877194105,6.472827148412759,6.073113050024967,6.1403901860142005,8.625823845558374,7.381726626324754,7.103668001642754,7.067786710826342,4.620643871252171,7.036869945194616
hsa-miR-197-3p27,6.236385062338462,5.455606856526381,5.689471822665068,7.243646034056002,6.230765292437491,8.380993513073905,6.3584241579523155,5.320462319232302,6.418695889265132,7.557309248628494,6.003794733635563,6.642766912270783,6.080816670015004,5.812419916845047,6.226090641077043,6.656329339158181,5.591019894251446,4.7582324324614875
hsa-miR-197-5p91,0.0,0.0,0.0,0.0,0.0,0.16477972546636083,0.0,0.0,0.0,0.07584364767094302,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-197247,0.5747668150485923,0.722247484984345,0.7118410882833325,0.0,0.0,0.16477972546636083,0.2540096302106309,0.0,0.32295515556738064,0.3446989447611679,0.0,0.0,0.42063333262233404,0.4444172781120245,0.0,1.1892635555913271,0.0,0.0
hsa-miR-197348,0.31581933402649426,0.28283517554869986,1.5428419045959592,0.0,0.0,0.0,0.0,0.0,0.32295515556738064,0.07584364767094302,0.0,0.0,0.0,1.0581731743895415,0.0,0.0,0.0,0.0
hsa-miR-197651,0.0,0.0,0.0,0.0,0.0,0.31265334495239655,0.13258791866733297,0.15063083186922394,0.0,0.5178476552440707,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-19828,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
hsa-miR-199a-3p32,11.129026600426322,11.458102615801398,11.15193162677477,13.1037029906235,9.348290874590674,12.389955238114005,10.573283276239968,10.805695452287079,11.243431100618265,12.326544103883643,8.858714955561005,10.534928825282629,11.849370326049279,9.968841208292133,10.008178526764253,11.582231024450955,9.187741775702566,10.58749410687409
hsa-miR-199a-5p31,8.427689331952495,7.640235162652427,8.227087509528936,10.169962792405814,7.843904608470853,10.110328039811145,7.95363097573468,7.498924860521632,8.84077249391815,9.643316001437537,6.658452704289004,7.1008314087016515,8.410923247572411,8.133259236200088,8.052204426155685,8.593911296534216,7.888802891709156,9.132750248559818
hsa-miR-199b-3p63,11.129026600426322,11.458102615801398,11.15193162677477,13.1037029906235,9.348290874590674,12.389955238114005,10.573283276239968,10.805695452287079,11.243431100618265,12.326544103883643,8.858714955561005,10.534928825282629,11.849370326049279,9.968841208292133,10.008178526764253,11.582231024450955,9.187741775702566,10.58749410687409
hsa-miR-199b-5p63,9.44800745972333,9.134300270678981,9.224678119965755,11.125027937503281,8.176674688046104,11.313334835689545,8.92808898828408,8.952991728660384,9.826099040525655,10.725661843817548,8.962834784537211,9.355952496844257,9.70170743978115,8.633428613785279,8.357295187271065,10.24343998096458,8.760502503414715,10.22867796536947
