sample,paciente 137,paciente 139,paciente 140,paciente 190,paciente 252,paciente 407,paciente 411,paciente 422,paciente 142 ,paciente 162,paciente 173,paciente 187,paciente 210,paciente 258,paciente 260,paciente 297,paciente 414,paciente 457
hsa-miR-10526-3p96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-10527-5p97,7,4,9,1,0,19,9,4,4,33,2,6,1,0,2,5,0,2
hsa-miR-106a-3p17,0,2,0,0,0,1,0,0,0,13,0,2,0,0,0,0,0,0
hsa-miR-106a-5p03,39,20,62,20,0,298,199,94,29,1725,6,32,10,0,0,68,4,4
hsa-miR-106b-3p72,4511,5129,9532,226,639,4573,24862,12848,4650,15861,264,4039,3144,97,48,10538,4618,653
hsa-miR-106b-5p80,225,244,512,258,7,1699,928,515,182,12481,96,754,101,4,9,370,37,68
hsa-miR-10704,33920,25675,45831,1660,1349,16576,120547,60480,21142,94715,1076,10214,12913,161,97,40224,14834,1391
hsa-miR-10a-3p55,41,37,40,23,7,263,70,72,30,380,3,10,31,2,1,43,9,4
hsa-miR-10a-5p53,106427,104626,87104,76360,11152,674052,187938,229616,125855,652544,9681,107099,78999,1206,1472,151450,68343,22718
hsa-miR-10b-3p56,30,38,34,22,6,193,29,51,30,295,21,82,24,1,0,21,12,13
hsa-miR-10b-5p54,823016,1100696,831108,170115,121375,1241035,1748289,2300818,1196708,1342796,587146,1637392,1100313,34257,23279,1225315,978882,99526
hsa-miR-11181-3p97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-11181-5p96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1139956,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1140057,8,9,3,0,0,12,46,32,2,94,0,2,0,0,0,11,2,1
hsa-miR-1140158,4,2,6,1,0,2,3,14,2,22,0,0,0,0,0,1,8,0
hsa-miR-1178-3p23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1178-5p40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-117924,8,2,5,0,0,4,6,8,3,7,0,6,5,0,0,7,1,0
hsa-miR-1180-3p25,31,11,17,10,3,144,60,28,13,166,2,32,20,6,5,29,12,31
hsa-miR-1180-5p35,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1
hsa-miR-118126,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-118227,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hsa-miR-118328,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-118429,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1185-1-3p38,2,1,0,1,0,11,1,2,0,38,0,1,0,0,0,1,1,0
hsa-miR-1185-2-3p13,2,2,1,1,0,6,1,1,0,4,0,0,0,0,0,1,1,0
hsa-miR-1185-5p98,0,2,1,2,0,17,1,0,0,51,0,5,0,0,0,0,0,0
hsa-miR-119349,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-119755,0,0,0,2,0,6,0,0,0,29,0,1,0,0,0,1,1,0
hsa-miR-1199-3p20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1199-5p19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-120063,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-120265,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-120366,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-120468,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-120569,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-120670,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1207-3p72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1207-5p71,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-120873,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1211307,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1211408,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
hsa-miR-1211509,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1211610,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1211711,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1211812,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1211913,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1212014,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1212115,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1212216,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1212317,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1212418,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1212519,0,0,0,0,0,1,0,0,0,3,1,0,0,0,0,0,0,0
hsa-miR-1212620,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1212721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1212822,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1212923,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-1213024,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1213125,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1213226,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1213327,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1213531,83,42,39,10,2,42,118,129,39,141,1,125,11,0,0,68,7,5
hsa-miR-1213632,59,41,142,27,5,59,56,21,55,85,5,25,13,2,1,95,5,44
hsa-miR-122-3p90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-122-5p21,0,0,1,0,0,1,1,1,0,27,0,1,0,0,0,0,0,0
hsa-miR-1224-3p59,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-1224-5p58,1,0,0,0,0,1,0,1,0,3,1,1,0,0,1,0,0,3
