sample,paciente 137,paciente 139,paciente 140,paciente 190,paciente 252,paciente 407,paciente 411,paciente 422,paciente 142 ,paciente 162,paciente 173,paciente 187,paciente 210,paciente 258,paciente 260,paciente 297,paciente 414,paciente 457
hsa-miR-1343-5p38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-135a-2-3p09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-135a-3p95,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
hsa-miR-135a-5p28,1,0,2,0,0,3,1,1,0,5,0,1,0,0,0,1,0,0
hsa-miR-135b-3p98,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-135b-5p58,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
hsa-miR-136-3p06,185,176,156,130,3,297,159,126,159,1358,26,296,123,3,24,149,18,82
hsa-miR-136-5p48,36,40,24,56,0,63,14,18,27,252,14,46,9,2,6,31,0,62
hsa-miR-137-3p29,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-137-5p10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-138-1-3p07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-138-2-3p96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-138-5p30,1,1,3,1,0,2,1,0,2,9,0,16,2,0,0,1,1,8
hsa-miR-139-3p52,56,38,63,2,30,69,133,71,56,61,8,38,31,2,1,92,93,20
hsa-miR-139-5p50,390,502,1215,650,57,6270,925,582,858,5861,42,403,464,8,8,609,405,134
hsa-miR-140-3p97,8180,12493,15358,1648,1201,19052,29623,12965,13407,37976,535,3053,6381,94,35,16696,7542,1254
hsa-miR-140-5p31,58,81,129,49,1,328,109,96,83,945,18,197,42,1,8,66,16,45
hsa-miR-141-3p32,2,42,1,5,0,11,8,71,2,116,3,6,1,0,0,1,0,1
hsa-miR-141-5p98,0,0,0,0,0,0,2,1,0,0,0,1,0,0,0,0,0,0
hsa-miR-142-3p34,38,67,116,84,1,195,95,68,44,2933,8,315,10,1,3,57,2,36
hsa-miR-142-5p33,1185,1377,1836,1943,125,17759,5028,4189,523,123664,326,3150,226,35,98,1261,466,325
hsa-miR-143-3p35,1112273,1500664,1255330,210730,93371,481894,1572490,1998749,1134910,1155670,238378,1122458,795806,41560,7664,1819857,348931,149859
hsa-miR-143-5p99,113,86,117,79,4,564,154,103,101,1007,12,163,38,5,2,120,12,574
hsa-miR-144-3p36,274,570,378,1046,8,2788,360,544,95,41888,122,2683,14,3,45,257,28,380
hsa-miR-144-5p00,2169,4950,5744,642,52,5606,5645,8181,990,90569,63,2154,331,2,9,1568,498,267
hsa-miR-145-3p01,349,775,480,318,45,3440,416,914,292,7040,176,2680,233,55,39,341,251,557
hsa-miR-145-5p37,4852,3468,5163,2283,299,50146,8778,6588,6771,40702,840,10506,4975,49,20,7843,3391,4479
hsa-miR-1468-3p38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1468-5p89,58,24,19,8,39,146,133,80,27,137,1,5,12,0,1,50,54,9
hsa-miR-146947,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
hsa-miR-146a-3p08,0,0,1,0,0,2,0,1,0,6,0,2,0,0,0,0,0,0
hsa-miR-146a-5p49,686,1204,364,384,78,995,772,1967,653,2830,423,822,1072,133,130,623,374,404
hsa-miR-146b-3p66,58,16,51,9,22,126,95,81,103,196,2,9,57,0,3,263,115,28
hsa-miR-146b-5p09,1776,1168,2823,385,218,1671,2171,5617,5794,5027,1575,640,4606,63,221,7489,2223,48
hsa-miR-147048,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-147149,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-147a51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-147b-3p28,1,3,2,0,0,2,2,1,0,17,0,5,0,5,11,3,3,19
hsa-miR-147b-5p31,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-148a-3p43,59930,58929,52693,7837,3785,29577,109668,119143,62758,72344,3170,18085,47479,247,313,73228,15685,5129
hsa-miR-148a-5p49,613,379,505,51,77,1031,975,961,501,856,9,195,329,4,1,749,254,306
hsa-miR-148b-3p59,4379,5522,8402,657,404,4109,18637,15834,6011,9619,24,105,3464,11,6,5791,13859,48
hsa-miR-148b-5p99,27,15,17,22,0,161,33,25,14,797,3,23,6,1,0,20,0,8
hsa-miR-149-3p09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-149-5p50,36,33,49,29,9,210,79,32,47,200,16,184,29,3,4,27,21,261
hsa-miR-150-3p10,25,27,12,1,27,31,36,35,15,37,1,3,7,0,0,20,26,2
hsa-miR-150-5p51,315,395,673,205,145,7435,800,462,514,9729,19,49,244,4,2,551,364,60
hsa-miR-151a-3p57,12461,11030,12490,2076,2475,21637,20379,21711,11672,39554,1792,35650,11294,598,891,12537,10099,6062
hsa-miR-151a-5p97,1971,1411,1837,836,369,26594,4129,3238,1768,36128,36,449,1501,14,7,1925,1651,157
hsa-miR-151b14,1971,1411,1836,836,369,26585,4127,3238,1767,36114,36,449,1500,14,7,1925,1651,157
hsa-miR-152-3p38,994,1223,1314,700,120,4272,2364,2367,1004,6003,152,1222,1012,33,45,977,801,279
hsa-miR-152-5p79,38,26,19,12,2,77,85,45,48,133,2,12,27,0,2,53,7,7
hsa-miR-153-3p39,0,1,5,4,0,9,1,1,1,26,0,4,0,0,0,1,0,1
hsa-miR-153-5p80,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0
hsa-miR-1537-3p99,0,0,0,0,0,1,1,0,0,6,0,0,0,0,0,0,0,0
hsa-miR-1537-5p65,1,2,0,0,0,0,0,2,1,3,0,2,1,0,0,0,0,0
hsa-miR-153800,2,1,0,0,1,2,2,1,1,1,1,1,0,0,0,1,0,1
hsa-miR-153901,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-154-3p53,0,0,0,0,0,2,0,0,0,6,0,0,2,0,0,0,0,0
hsa-miR-154-5p52,20,19,23,9,0,68,22,16,28,116,5,13,18,1,1,11,9,7
hsa-miR-155-3p58,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-155-5p46,414,434,493,64,71,547,601,477,383,2105,64,104,532,1,18,337,462,27
hsa-miR-158777,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
hsa-miR-15a-3p88,0,0,2,1,0,0,2,1,1,14,0,2,0,0,0,0,0,0
hsa-miR-15a-5p68,1882,1386,2513,702,45,9047,6106,3499,712,99362,15,213,287,10,1,1073,314,41
hsa-miR-15b-3p86,59,94,145,45,2,362,337,279,60,2499,47,1057,36,1,0,128,32,14
hsa-miR-15b-5p17,195,127,336,64,23,4657,1645,548,137,12872,2,7,46,0,2,408,197,2
hsa-miR-16-1-3p89,1,2,8,0,0,1,8,1,1,5,1,5,1,0,0,5,1,1
hsa-miR-16-2-3p18,176,183,190,67,13,617,648,385,62,5027,15,285,15,1,10,136,99,34
hsa-miR-16-5p69,12265,8653,23722,6259,681,152916,49663,25315,5634,883364,275,4571,2257,24,62,8021,3642,731
hsa-miR-17-3p71,12,18,38,8,1,213,31,31,14,595,2,17,1,0,0,28,1,12
hsa-miR-17-5p70,418,333,827,200,9,3768,2517,1201,331,18410,54,428,154,6,4,563,196,66
hsa-miR-181a-2-3p58,1199,811,796,41,327,1051,2205,1632,1131,938,373,1626,651,35,48,1359,709,370
hsa-miR-181a-3p70,583,345,450,61,105,1143,1317,900,661,1639,21,153,391,3,13,693,761,130
hsa-miR-181a-5p56,70936,43823,46371,5571,17812,109742,148045,85326,40087,181929,371,6995,23488,123,64,55246,47953,16912
hsa-miR-181b-2-3p93,1,1,1,0,0,0,0,0,2,6,0,0,0,0,0,1,0,0
hsa-miR-181b-3p92,7,4,4,0,0,1,2,7,5,15,3,5,6,0,0,5,0,1
hsa-miR-181b-5p57,5387,3511,3772,294,1279,3932,8295,5604,2975,5638,503,1605,1775,112,108,3892,4524,521
hsa-miR-181c-3p59,142,128,127,30,31,336,319,170,172,561,10,54,108,3,0,243,91,132
hsa-miR-181c-5p58,953,834,865,432,122,6668,1909,1095,1054,10175,148,999,691,27,36,1486,445,409
hsa-miR-181d-3p08,0,0,0,0,0,1,0,0,0,2,0,1,0,0,0,0,0,0
hsa-miR-181d-5p21,514,494,315,57,73,371,906,911,480,769,68,287,593,35,7,710,300,77
hsa-miR-182-3p60,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,0
hsa-miR-182-5p59,18390,30269,38160,1102,1813,11249,137894,95108,9203,76328,1089,11510,2267,122,96,16718,15540,715
hsa-miR-182565,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-182767,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-183-3p60,6,4,8,2,0,16,12,3,0,62,0,1,0,0,0,3,1,0
hsa-miR-183-5p61,270,535,1201,13,28,1366,2708,2420,209,5553,11,356,58,2,6,270,507,31
hsa-miR-184364,116,81,94,11,27,117,227,163,69,263,6,156,27,3,6,97,63,48
hsa-miR-18454,8,5,11,3,0,3,28,13,4,3,4,21,6,5,1,2,5,0
hsa-miR-185-3p11,46,35,102,2,9,21,197,67,34,69,19,31,7,32,15,59,29,41
hsa-miR-185-5p55,412,433,1139,29,21,403,2441,1566,359,1752,15,147,110,5,1,860,272,25
hsa-miR-186-3p12,0,1,2,1,0,1,0,0,2,3,1,5,3,0,0,0,0,5
hsa-miR-186-5p56,3973,2795,3868,3032,326,29044,7296,5318,3191,75661,836,13273,1850,495,1707,4203,1326,5232
hsa-miR-187-3p62,1,7,2,0,0,1,1,2,1,9,0,1,2,0,0,0,0,0
hsa-miR-187-5p61,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-188-3p13,1,0,0,1,0,10,1,0,0,13,1,2,0,0,0,1,0,0
hsa-miR-188-5p57,3,1,9,5,0,10,3,2,7,50,6,23,1,0,0,5,0,8
hsa-miR-18a-3p91,7,8,17,2,4,82,48,15,3,265,1,13,4,0,0,13,12,12
hsa-miR-18a-5p72,62,81,165,92,2,352,305,107,91,3205,8,163,28,1,0,113,11,7
hsa-miR-18b-3p51,0,0,0,0,0,3,0,0,0,11,0,0,0,0,0,0,0,0
hsa-miR-18b-5p12,6,12,18,3,0,24,29,8,7,346,1,10,2,0,0,15,1,1
hsa-miR-1908-3p16,0,0,0,0,1,0,0,0,1,1,1,1,0,0,0,0,0,1
hsa-miR-1908-5p81,1,0,0,1,0,6,0,1,0,24,0,0,0,2,1,0,1,1
hsa-miR-1909-3p83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1909-5p82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-190a-3p82,0,2,2,7,0,17,2,2,0,69,0,15,2,1,0,2,0,3
hsa-miR-190a-5p58,606,550,274,125,17,296,1001,1547,344,2112,13,172,279,2,0,412,122,33
hsa-miR-190b-3p32,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-190b-5p29,56,56,58,5,1,6,92,101,32,76,3,11,46,1,0,26,19,4
hsa-miR-191-3p18,2,1,0,0,2,19,2,0,1,26,0,15,0,1,5,3,1,18
hsa-miR-191-5p40,19324,12680,15862,9462,7026,141859,32404,33726,15258,210213,1588,22726,7823,252,339,17600,32078,3078
hsa-miR-1910-3p17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1910-5p84,0,0,0,0,3,0,0,0,0,2,0,0,0,0,0,0,0,1
hsa-miR-1911-3p86,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1911-5p85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1912-3p87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1912-5p33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-191388,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1914-3p90,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1914-5p89,0,0,0,0,1,0,0,0,0,2,0,0,1,0,0,1,0,0
hsa-miR-1915-3p92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-1915-5p91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-192-3p43,0,2,1,0,0,4,4,2,1,14,0,0,0,0,0,3,0,0
hsa-miR-192-5p22,2908,3837,5095,604,204,4047,12082,9006,1906,40715,515,7685,987,186,161,5796,1131,552
hsa-miR-193a-3p59,104,52,154,280,2,452,102,34,109,745,100,440,74,10,5,133,17,501
hsa-miR-193a-5p14,403,92,78,129,51,5634,508,337,146,3119,12,71,75,4,7,343,358,172
hsa-miR-193b-3p19,893,394,961,518,111,12902,2070,690,998,10416,302,3224,1174,31,1,1201,651,4406
hsa-miR-193b-5p67,29,4,16,9,11,102,30,14,11,91,7,28,10,27,16,34,24,57
hsa-miR-194-3p71,2,3,3,0,2,2,8,2,0,1,0,0,1,0,0,0,0,0
hsa-miR-194-5p60,113,45,146,32,4,561,172,130,78,3651,3,35,28,1,0,87,14,2
hsa-miR-195-3p15,210,202,125,15,64,226,348,278,163,211,43,138,112,0,3,224,115,32
hsa-miR-195-5p61,1111,1112,1303,640,30,8577,1829,1851,1657,16110,70,510,1257,13,17,1256,490,130
hsa-miR-196a-1-3p07,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-196a-3p62,44,25,3,39,1,48,36,40,89,180,2,44,16,0,0,2,5,7
hsa-miR-196a-5p26,446,829,561,242,171,460,579,910,337,1733,52,253,646,3,12,66,244,45
hsa-miR-196b-3p01,0,0,0,1,0,0,1,1,0,4,0,2,0,0,0,1,0,3
hsa-miR-196b-5p80,1813,2083,1407,311,152,548,2706,2635,1541,1627,63,284,1164,3,10,919,403,104
hsa-miR-197-3p27,304,198,238,134,46,2747,842,354,337,3471,60,404,197,6,2,306,218,78
hsa-miR-197-5p91,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-197247,2,3,3,0,0,1,2,0,1,5,0,0,1,0,0,2,0,1
hsa-miR-197348,1,1,9,0,0,0,0,0,1,1,0,0,0,0,0,6,0,0
hsa-miR-197651,0,0,0,0,0,2,1,1,0,8,0,0,0,0,0,0,0,0
hsa-miR-19828,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-199a-3p32,9131,12964,10680,7821,401,44195,15787,16232,9643,94825,439,6046,10882,74,118,5543,3031,2392
hsa-miR-199a-5p31,1400,913,1401,1024,141,9125,2563,1634,1817,14793,95,557,1002,30,43,1545,779,301
hsa-miR-199b-3p63,9131,12964,10680,7821,401,44195,15787,16232,9643,94825,439,6046,10882,74,118,5543,3031,2392
hsa-miR-199b-5p63,2850,2590,2809,1987,179,21024,5050,4494,3614,31353,473,2672,2457,55,92,2196,965,946
hsa-miR-19a-3p73,356,1000,1369,213,8,239,688,898,592,4387,257,3886,717,2,12,555,9,193
hsa-miR-19a-5p90,0,0,0,2,0,0,1,0,0,6,0,0,0,0,0,2,0,0
hsa-miR-19b-1-5p91,0,0,2,0,1,4,1,1,1,7,0,2,1,0,0,0,0,2
hsa-miR-19b-2-5p92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-19b-3p74,2872,8914,13583,2423,59,2263,6701,7416,6302,23138,1710,28076,6281,99,100,6356,308,2042
hsa-miR-200a-3p82,0,6,1,1,0,2,2,10,0,9,0,0,2,0,0,2,0,0
hsa-miR-200a-5p20,2,3,0,0,0,0,2,8,1,0,0,0,0,0,0,0,0,0
hsa-miR-200b-3p18,2,29,3,0,0,44,10,54,1,83,0,2,2,0,0,3,4,0
hsa-miR-200b-5p71,0,1,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0
hsa-miR-200c-3p17,0,8,0,1,0,17,2,8,0,37,0,0,2,0,0,0,1,0
hsa-miR-200c-5p57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-202-3p11,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-202-5p10,0,1,2,0,0,2,0,1,1,12,0,0,2,0,0,1,0,0
hsa-miR-203a-3p64,26,289,60,4,3,38,203,705,76,69,2,12,24,0,0,78,8,6
hsa-miR-203a-5p90,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-203b-3p14,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0
hsa-miR-203b-5p13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-204-3p93,0,0,0,0,0,0,2,1,0,3,0,0,0,0,0,0,1,2
hsa-miR-204-5p65,309,234,297,32,207,1280,569,617,363,4383,44,261,151,3,2,608,1671,19
hsa-miR-205-3p97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-205-5p66,21,696,34,4,1,34,116,1164,73,91,1,23,5,0,0,2,19,16
hsa-miR-205277,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-205378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-205479,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-20662,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-208a-3p41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-208a-5p74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-208b-3p60,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-208b-5p22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-20a-3p93,0,2,0,0,0,6,2,0,2,63,0,0,2,0,0,0,0,0
hsa-miR-20a-5p75,331,269,830,217,4,2266,1824,902,282,17225,16,156,130,0,0,449,49,22
hsa-miR-20b-3p52,0,0,0,0,0,1,0,0,0,3,0,0,0,0,0,1,0,0
hsa-miR-20b-5p13,75,43,204,20,0,538,388,179,43,3323,18,143,12,0,2,89,28,12
hsa-miR-21-3p94,944,1150,1279,140,51,27,1628,444,1141,337,31,57,314,10,7,2852,50,61
hsa-miR-21-5p76,30396,81468,36954,7559,727,18498,48652,86107,46418,185941,4392,19544,57920,185,1928,52931,18454,4737
hsa-miR-210-3p67,321,209,365,66,12,380,777,298,337,1876,60,419,232,33,11,426,122,368
hsa-miR-210-5p75,4,2,4,1,0,25,7,3,2,44,0,1,2,0,0,6,4,1
hsa-miR-211-3p94,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
hsa-miR-211-5p68,14,7,27,2,3,349,14,95,12,42,0,10,19,0,0,16,15,2
hsa-miR-211033,9,7,6,3,8,61,22,13,5,73,4,19,8,1,1,15,15,54
hsa-miR-211306,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-2114-3p57,1,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
hsa-miR-2114-5p56,0,0,0,0,0,2,0,0,0,6,0,0,0,0,0,0,0,0
hsa-miR-2115-3p59,0,0,2,0,1,0,0,0,0,4,0,0,0,0,0,0,0,0
hsa-miR-2115-5p58,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0
hsa-miR-2116-3p61,2,1,0,1,0,12,4,0,2,26,0,0,2,0,0,5,1,7
hsa-miR-2116-5p60,0,1,0,0,0,2,0,2,0,4,0,0,1,0,0,0,0,0
hsa-miR-211762,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-212-3p69,12,8,22,5,1,70,36,12,11,138,2,9,1,0,0,26,16,0
hsa-miR-212-5p95,2,2,9,3,1,51,8,11,4,100,1,5,3,0,0,7,15,0
hsa-miR-214-3p71,542,335,313,141,58,3384,1483,901,760,2396,13,50,548,1,3,759,1058,41
hsa-miR-214-5p64,31,36,31,35,0,641,77,51,36,784,10,56,65,2,0,27,18,27
hsa-miR-215-3p76,1,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,0
hsa-miR-215-5p72,328,168,223,79,15,685,212,283,244,1232,37,277,67,1,4,261,28,107
hsa-miR-216a-3p44,1,0,1,0,0,3,0,3,1,2,0,0,0,0,0,2,1,0
hsa-miR-216a-5p73,0,0,0,0,0,0,0,0,1,3,0,0,0,0,0,0,0,0
hsa-miR-216b-3p21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-216b-5p59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-217-3p08,0,0,0,0,0,2,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-217-5p74,1,0,3,0,0,3,1,1,1,4,0,0,0,0,0,0,0,0
hsa-miR-218-1-3p65,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0
hsa-miR-218-2-3p66,0,0,0,1,0,3,0,0,0,3,0,1,0,0,0,0,0,0
hsa-miR-218-5p75,149,313,181,92,10,167,183,305,205,853,38,128,202,6,7,216,76,37
hsa-miR-219a-1-3p67,4,2,3,0,3,8,11,3,5,10,0,8,3,1,1,4,4,5
hsa-miR-219a-2-3p75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-219a-5p76,0,0,0,0,0,0,1,0,1,2,1,0,0,0,0,0,0,1
hsa-miR-219b-3p48,2,1,2,1,0,1,0,0,1,3,0,3,0,0,0,1,0,1
hsa-miR-219b-5p47,0,1,0,0,0,3,0,0,0,2,0,0,1,0,0,1,0,0
hsa-miR-22-3p77,69596,31671,42901,55890,10073,573710,113436,71175,37319,1107164,6289,93168,28793,2049,783,79162,21564,140369
hsa-miR-22-5p95,128,78,138,113,3,671,131,112,190,1809,48,436,123,1,0,174,52,235
hsa-miR-221-3p78,2991,3664,3708,638,426,9286,5776,5660,3048,16658,112,646,3785,37,67,3308,2445,518
hsa-miR-221-5p68,13,12,15,10,2,151,21,40,29,388,1,3,14,0,2,26,11,3
hsa-miR-222-3p79,985,1033,748,171,395,4743,1179,1345,852,5055,230,946,776,8,23,866,1438,558
hsa-miR-222-5p69,0,0,2,0,0,5,0,2,0,12,0,0,1,0,0,0,1,0
hsa-miR-223-3p80,134,136,385,29,4,1246,669,277,157,7461,17,55,70,1,5,172,74,21
hsa-miR-223-5p70,11,3,11,0,1,13,48,24,9,171,0,2,5,0,0,25,4,0
hsa-miR-224-3p98,31,23,39,24,7,214,44,30,42,276,5,20,30,0,0,44,11,13
hsa-miR-224-5p81,754,282,471,264,164,6105,1097,652,570,10499,13,200,179,5,0,720,371,70
hsa-miR-2276-3p75,0,0,1,0,0,2,0,0,1,1,0,1,0,0,0,0,1,1
hsa-miR-2276-5p21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
hsa-miR-2277-3p77,8,0,2,2,0,6,3,3,0,10,0,2,1,0,0,1,0,4
hsa-miR-2277-5p52,3,1,5,4,0,21,3,4,2,31,2,7,2,1,1,0,3,18
hsa-miR-227878,0,0,0,0,0,5,0,0,0,1,0,3,0,0,0,0,1,0
hsa-miR-2355-3p50,0,0,1,0,0,3,2,0,2,19,0,3,1,0,0,0,1,10
hsa-miR-2355-5p95,12,13,14,5,1,55,17,12,19,160,0,4,6,0,0,16,3,4
hsa-miR-239243,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-23a-3p78,1674,1348,1607,974,149,26850,3487,2262,2016,33292,156,1052,2019,21,14,1718,1268,294
hsa-miR-23a-5p96,0,0,1,1,0,5,0,0,1,11,0,0,0,0,1,1,1,2
hsa-miR-23b-3p18,972,1133,1478,435,68,23895,2146,1898,1019,26353,63,840,1076,9,13,1197,1065,158
hsa-miR-23b-5p87,0,2,2,0,0,2,2,2,1,3,0,0,2,0,0,2,7,2
hsa-miR-23c00,0,0,1,0,0,24,3,2,3,14,0,2,2,0,0,2,0,1
hsa-miR-24-1-5p79,1,2,3,0,0,27,4,3,2,24,0,12,0,0,0,2,3,1
hsa-miR-24-2-5p97,42,31,36,27,3,359,62,46,41,661,5,70,19,0,2,32,10,12
hsa-miR-24-3p80,1365,1506,1788,1061,99,7837,2702,2663,1953,12357,131,810,2554,26,10,1891,1169,185
hsa-miR-2467-3p53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-2467-5p52,0,2,1,0,0,2,0,2,1,9,1,2,1,0,0,2,1,4
hsa-miR-25-3p81,48185,62498,102020,2556,5517,29658,310332,164477,41838,160921,1030,21585,33277,102,113,60985,60439,1476
hsa-miR-25-5p98,4,1,3,1,1,23,12,6,4,56,1,11,2,1,0,3,4,7
hsa-miR-2681-3p16,0,1,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0
hsa-miR-2681-5p15,2,2,1,0,2,6,5,4,1,1,0,1,0,0,0,2,1,0
hsa-miR-2682-3p18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-2682-5p17,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0
hsa-miR-26a-1-3p99,2,2,4,5,0,4,4,1,4,17,4,14,2,0,0,6,2,0
hsa-miR-26a-2-3p81,9,35,37,16,0,24,23,19,43,125,8,113,49,1,0,20,9,11
hsa-miR-26a-5p82,65772,99102,143834,54037,7623,1094943,652908,323750,106073,1568855,2565,18381,70406,509,440,91460,156004,2671
hsa-miR-26b-3p00,17,14,17,10,5,241,20,12,13,374,13,66,13,2,0,17,5,22
hsa-miR-26b-5p83,15408,19506,18778,4507,612,29337,32913,29619,10348,151189,676,5305,10520,76,92,9535,4666,714
hsa-miR-27a-3p84,22510,32823,21921,7594,2765,51539,30053,42595,16164,143363,822,7215,14319,125,135,27812,10571,3104
hsa-miR-27a-5p01,54,51,31,13,3,36,139,74,48,187,3,27,14,3,2,140,43,14
hsa-miR-27b-3p19,27180,41694,29964,10316,3150,76372,36509,51253,20570,180961,2599,13644,22111,146,161,32550,12983,3760
hsa-miR-27b-5p88,105,99,78,18,25,159,127,171,66,456,34,248,58,15,13,70,118,56
hsa-miR-28-3p02,13537,12539,10554,1248,4449,16335,21017,21489,12602,21614,1561,9950,14232,240,96,14060,10988,2971
hsa-miR-28-5p85,411,545,481,206,75,3271,1003,1079,355,5125,1,52,351,1,1,369,467,25
hsa-miR-286102,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-290963,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-296-3p79,7,3,8,1,0,9,5,4,4,9,7,16,6,152,40,4,0,31
hsa-miR-296-5p90,3,0,1,1,0,35,3,1,2,23,1,4,2,0,0,1,0,5
hsa-miR-29750,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-29801,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
hsa-miR-299-3p87,49,54,31,12,3,59,32,48,29,129,21,85,36,2,8,28,5,21
